x,hi,low
0.0,1.13776,1.13761
1.0,1.13778,1.13764
2.0,1.13775,1.1376
3.0,1.13778,1.13762
4.0,1.13794,1.13779
5.0,1.13796,1.13781
6.0,1.13799,1.13784
7.0,1.13793,1.13776
8.0,1.13792,1.13777
9.0,1.13795,1.13779
10.0,1.138,1.13784
11.0,1.13809,1.13794
12.0,1.13807,1.13793
13.0,1.1381,1.13796
14.0,1.13814,1.13799
15.0,1.13812,1.13797
16.0,1.13814,1.13799
17.0,1.1382,1.13806
18.0,1.13825,1.13809
19.0,1.13827,1.1381
20.0,1.13823,1.13808
21.0,1.1383,1.13814
22.0,1.13827,1.13813
23.0,1.13831,1.13815
24.0,1.13826,1.1381
25.0,1.13826,1.13811
26.0,1.13828,1.13813
27.0,1.13826,1.13811
28.0,1.13821,1.13807
29.0,1.13824,1.1381
30.0,1.13828,1.13813
31.0,1.13826,1.13811
32.0,1.1383,1.13814
33.0,1.13837,1.13821
34.0,1.1384,1.13825
35.0,1.13836,1.13821
36.0,1.13837,1.13822
37.0,1.13834,1.1382
38.0,1.13838,1.13822
39.0,1.13836,1.13822
40.0,1.1383,1.13815
41.0,1.13834,1.13819
42.0,1.13838,1.13822
43.0,1.13836,1.13821
44.0,1.1384,1.13824
45.0,1.13839,1.13822
46.0,1.13841,1.13826
47.0,1.13835,1.1382
48.0,1.1384,1.13824
49.0,1.13852,1.13836
50.0,1.13852,1.13837
51.0,1.13867,1.13852
52.0,1.13871,1.13854
53.0,1.13873,1.13857
54.0,1.13874,1.13858
55.0,1.13878,1.13862
56.0,1.13873,1.13857
57.0,1.13877,1.13861
58.0,1.13876,1.13861
59.0,1.13872,1.13855
60.0,1.13876,1.13861
61.0,1.13874,1.13858
62.0,1.13871,1.13856
63.0,1.13867,1.13852
64.0,1.13857,1.13842
65.0,1.1386,1.13845
66.0,1.13862,1.13847
67.0,1.13865,1.13849
68.0,1.1386,1.13845
69.0,1.13859,1.13844
70.0,1.13859,1.13843
71.0,1.13856,1.13841
72.0,1.13863,1.13849
73.0,1.13866,1.13851
